NetPV_MW_mean,NetPV_MW_std,NetPV_MW_max,NetPV_MW_min,NetPV_MW_ramp_std,NetPV_MW_ramp_max,Charge_MW_mean,Charge_MW_std,Charge_MW_max,Charge_MW_min,Charge_MW_ramp_std,Charge_MW_ramp_max,Discharge_MW_mean,Discharge_MW_std,Discharge_MW_max,Discharge_MW_min,Discharge_MW_ramp_std,Discharge_MW_ramp_max,NG_MW_mean,NG_MW_std,NG_MW_max,NG_MW_min,NG_MW_ramp_std,NG_MW_ramp_max,Unmet_MW_mean,Unmet_MW_std,Unmet_MW_max,Unmet_MW_min,Unmet_MW_ramp_std,Unmet_MW_ramp_max,SOC_MWh_mean,SOC_MWh_std,SOC_MWh_max,SOC_MWh_min,SOC_MWh_ramp_std,SOC_MWh_ramp_max,unmet_hours,deficit_kWh,PV_MWdc,BESS_MW,NG_MW,Season,BESS_MWh,SuccessRate,Unmet_h,Deficit_kWh,PV_MWh,NG_MWh,PV_Cost,BESS_Cost,NG_Cost,Total_Cost_$,PV_Utilization,BESS_Utilization,NG_Utilization,BESS_Cycles
381.76377444416295,540.1855563777021,1577.163721454545,0.0,247.80252780532786,1123.985896,17.765883218878397,52.1003664503986,200.0,0.0,48.825128092654,200.0,16.665875727401968,37.09554183737295,106.60035817780522,0.0,26.51711960121716,106.60035817780522,17.477750824753297,19.52492298674375,40.0,0.0,10.451092886516285,40.0,24.253047817393536,29.144198383702268,60.0,0.0,16.279719163799967,60.0,172.45938535809367,180.89151884203184,399.99999999997954,0.0,65.74401507184042,187.61663039293722,908,52968.65643318748,1100,400,40,Fall,36398.27258864589,0.5842490842490843,908,52968.65643318748,794971.3944360215,38171.4078012612,121000000,58000000,34000000,213000000,0.3309071738411677,0.04166468931850491,0.4369437706188324,90.99568147161473
524.7727877106543,662.0565574670511,1830.8852664545457,0.0,288.85742524914843,1186.8037752999999,17.774090627705675,52.35821103180856,200.0,0.0,49.75048533168069,200.0,16.673574959344123,36.88769779035061,106.60035817780522,0.0,26.136790764826912,106.60035817780522,14.016084543694328,18.766517922945788,40.0,0.0,10.508501801820938,40.0,19.063917713329733,27.592373032416216,60.0,0.0,16.186183822210182,60.0,206.71538388490902,182.70962509032182,399.99999999999994,0.0,65.81106586553241,187.61663039293722,730,42093.13031103205,1100,400,40,Spring,36815.25351023182,0.6693840579710145,730,42093.13031103205,1119453.123159151,30947.51467247707,121000000,58000000,34000000,213000000,0.4609079064390442,0.04168393739836031,0.3504021135923582,92.03813377557955
625.3347368183992,703.8119428563986,1776.5437814545455,0.0,289.75778773099285,1123.5581829999999,17.766726341131132,53.388064014934564,200.0,0.0,51.51691267344174,200.0,16.66666664618231,36.749105376106925,106.60035817780522,-3.637978807091713e-15,25.80227782256108,106.60035817780522,12.359117400475933,18.194614386905535,40.0,0.0,10.594259062525257,40.0,16.662263604630873,26.515803617712972,60.0,0.0,16.189033483174804,60.0,226.6748031048622,181.17115113967648,399.99999999999994,-3.637978807091713e-15,66.45527497025648,187.61663039293722,645,36790.27803902497,1100,400,40,Summer,36799.99995477054,0.7078804347826086,645,36790.27803902497,1341510.167133808,27288.93122025086,121000000,58000000,34000000,213000000,0.5523345549793347,0.04166666661545578,0.3089779350118983,91.99999988692636
268.6296422819811,422.32227988160133,1516.8342544545455,0.0,208.61249779478172,974.0582324000001,17.74469664433192,52.92754365372576,200.0,0.0,50.902355592752215,200.0,16.646000958772074,37.10195529353942,106.60035817780522,0.0,26.60222315497006,106.60035817780522,19.622160372906716,19.708984952742696,40.0,0.0,10.514666851425199,40.0,27.233380735263438,29.48335575270547,60.0,0.0,15.938549641897435,60.0,152.58196696221816,176.82259652662714,399.9999999946502,0.0,66.31693415532784,187.61663039293725,1022,58824.10238816903,1100,400,40,Winter,35955.36207094768,0.5268518518518519,1022,58824.10238816903,541911.4825773222,42383.8664054785,121000000,58000000,34000000,213000000,0.2280772233069538,0.04161500239693019,0.4905540093226678,89.88840517736921
624.8514583175387,884.0637786742919,2581.135595777778,0.0,405.5121375987877,1839.2496479999995,22.208405215283463,58.271044978627444,200.0,0.0,48.06074533072706,200.0,20.833330764462083,40.75210080820462,106.60035817780522,0.0,26.36531279538305,106.60035817780522,15.505638370820877,19.24720506713439,40.0,0.0,10.70953909865791,40.0,21.32245157110228,28.46064970458054,60.0,0.0,16.454203786977068,60.0,228.5044259518154,221.9699499398489,499.99999999989666,0.0,74.29245699532599,187.61663039293725,802,46568.23423128738,1800,500,40,Fall,45499.99438958519,0.6327838827838828,802,46568.23423128738,1316172.427975325,33864.3142018728,198000000,72500000,34000000,304500000,0.3348016961679195,0.04166666152892417,0.3876409592705219,90.99998877917038
858.8942340094173,1083.4818840679684,2996.316305777778,0.0,472.6879545000668,1942.0425414000001,22.208407953310623,58.133637547544424,200.0,0.0,47.968967772166806,200.0,20.833333332959235,40.676344609655054,106.60035817780522,0.0,26.139361220585005,106.60035817780522,12.02935515093359,18.10424007684584,40.0,0.0,10.767459144542917,40.0,16.069861909938687,26.262212757002565,60.0,0.0,16.3093355829203,60.0,272.1004206378989,221.77655059342493,499.9999999999996,0.0,74.15583950251352,187.61663039293728,618,35482.25509714462,1800,500,40,Spring,45999.99999917399,0.720108695652174,618,35482.25509714462,1847402.303931884,26560.81617326137,198000000,72500000,34000000,304500000,0.4648254589200593,0.04166666666591847,0.3007338787733397,91.99999999834797
1023.464306817943,1151.8104010723523,2907.393875777778,0.0,474.16181657304753,1838.549754,22.208407953680222,58.50794138001632,200.0,0.0,48.48965697977498,200.0,20.833333333305948,40.65323856761442,106.60035817780522,0.0,26.121195280834655,106.60035817780522,10.402467203983191,17.305401400041514,40.0,0.0,10.79653797902251,40.0,13.666941012641736,24.795392541904206,60.0,0.0,16.22590069756831,60.0,295.05654140479663,218.46941159670206,499.9999999999996,0.0,74.40192301070178,187.6166303929373,529,30176.605755912955,1800,500,40,Summer,45999.99999993953,0.7604166666666666,529,30176.60575591295,2210773.024692291,22968.64758639489,198000000,72500000,34000000,304500000,0.5562532771468125,0.0416666666666119,0.2600616800995798,91.99999999987907
439.70899792037756,691.1930567553793,2482.414649777778,0.0,341.37809671756537,1593.9134712000002,22.208393903426472,58.3866300468027,200.0,0.0,48.241429405400595,200.0,20.833320152999626,40.69386024250419,106.60035817780522,0.0,26.193192862689745,106.60035817780522,17.53996009868171,19.563763971772424,40.0,0.0,10.534230985806715,40.0,24.146341362602374,29.11651750338636,60.0,0.0,16.254111324886793,60.0,201.87990378326677,217.792921365396,499.99999997304934,0.0,74.34058133807103,187.61663039293725,899,52156.097343221125,1800,500,40,Winter,44999.97153047919,0.5837962962962963,899,52156.09734322112,901801.3046766144,37886.3138131525,198000000,72500000,34000000,304500000,0.2319447800094173,0.04166664030599925,0.4384990024670428,89.99994306095837
138.58552602549452,196.23120759413993,572.993459,0.0,90.08253285213772,408.72214399999996,16.883104443078444,50.01273512599999,200.0,0.0,47.07049498588791,200.0,15.837755830912021,35.8780914145247,106.60035817780522,0.0,25.762788738409874,106.60035817780522,5.055960387641172,4.986353849224992,10.0,0.0,2.856486577707394,10.0,40.65753306340218,43.53065649760472,90.0,0.0,22.07733169921915,90.0,148.79218409738155,175.39273260050257,399.99999999993514,0.0,63.18112906038667,187.61663039293728,1092,88796.05221047036,400,400,10,Fall,34589.65873471185,0.5,1092,88796.05221047036,265798.0887359967,11042.21748660832,44000000,58000000,8500000,110500000,0.3042560539560402,0.03959438957728005,0.5055960387641173,86.47414683677964
190.543521775308,240.5595142398653,665.255839,0.0,105.01952503363461,431.5650092,17.322771035194826,50.75430578704716,200.0,0.0,48.07772306321148,200.0,16.25019965345813,35.66573904238823,106.60035817780522,0.0,24.45251205992955,106.60035817780522,4.194357350005986,4.917845646165266,10.0,0.0,2.85401318237969,10.0,33.19333573871459,41.99363888435498,90.0,0.0,21.625237181872148,90.0,178.95265395990728,180.699882702437,399.9999999999987,0.0,63.78797166813738,187.61663039293722,914,73290.88531108182,400,400,10,Spring,35880.44083483555,0.5860507246376812,914,73290.88531108182,382471.4176341698,9261.141028813217,44000000,58000000,8500000,110500000,0.4330518768502828,0.04062549913364533,0.4194357350005986,89.70110208708887
